trendTime,all,one,two,three,half,res
2023-04-20 19:23:06,0.37,0.08,0.36,2.47,0.85,0.18
2023-04-20 19:43:05,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-20 20:03:06,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-20 20:23:07,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-20 20:43:07,0.37,0.08,0.37,2.43,0.85,0.18
2023-04-20 21:03:06,0.37,0.08,0.37,2.45,0.85,0.18
2023-04-20 21:23:06,0.37,0.08,0.37,2.45,0.85,0.19
2023-04-20 21:43:06,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-20 22:03:06,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-20 22:23:07,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-20 22:43:08,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-20 23:03:09,0.37,0.08,0.36,2.49,0.85,0.19
2023-04-20 23:23:08,0.37,0.08,0.36,2.46,0.85,0.19
2023-04-20 23:43:09,0.37,0.08,0.37,2.47,0.85,0.18
2023-04-21 00:03:09,0.37,0.08,0.36,2.5,0.86,0.18
2023-04-21 00:23:11,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 00:43:11,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 01:03:12,0.37,0.08,0.37,2.47,0.85,0.19
2023-04-21 01:23:13,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 01:43:11,0.37,0.08,0.37,2.48,0.86,0.18
2023-04-21 02:03:11,0.37,0.08,0.36,2.48,0.86,0.18
2023-04-21 02:23:11,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 02:43:09,0.37,0.08,0.37,2.5,0.85,0.19
2023-04-21 03:03:09,0.37,0.08,0.36,2.48,0.85,0.18
2023-04-21 03:23:07,0.37,0.08,0.36,2.47,0.85,0.2
2023-04-21 03:43:06,0.38,0.08,0.37,2.47,0.85,0.19
2023-04-21 04:03:10,0.37,0.08,0.36,2.49,0.84,0.18
2023-04-21 04:23:08,0.37,0.08,0.36,2.48,0.85,0.19
2023-04-21 04:43:09,0.37,0.08,0.36,2.53,0.84,0.19
2023-04-21 05:03:12,0.37,0.08,0.37,2.49,0.85,0.19
