time,GenPCal
2021-11-02 11:49:38.653,9526.05
2021-11-02 11:49:41.733,9541.81
2021-11-02 11:49:44.833,9524.61
2021-11-02 11:49:47.913,9551.11
2021-11-02 11:49:50.993,9524.26
2021-11-02 11:49:53.993,9527.8
2021-11-02 11:49:56.993,9540.33
2021-11-02 11:49:59.993,9531.78
2021-11-02 11:50:03.393,9548.29
2021-11-02 11:50:06.493,9521.91
2021-11-02 11:50:09.613,9528.76
2021-11-02 11:50:12.713,9540.32
2021-11-02 11:50:15.873,9524.64
2021-11-02 11:50:18.973,9541.83
2021-11-02 11:50:21.993,9519.68
2021-11-02 11:50:24.993,9532.86
2021-11-02 11:50:27.993,9543.24
2021-11-02 11:50:30.993,9528.28
2021-11-02 11:50:34.473,9548.63
2021-11-02 11:50:37.613,9523.16
2021-11-02 11:50:40.733,9541.82
2021-11-02 11:50:43.853,9520.76
2021-11-02 11:50:46.973,9538.63
2021-11-02 11:50:49.993,9548.15
2021-11-02 11:50:52.993,9522.05
2021-11-02 11:50:55.993,9534.96
2021-11-02 11:50:58.993,9532.14
2021-11-02 11:51:02.453,9549.99
2021-11-02 11:51:05.573,9520.65
2021-11-02 11:51:08.693,9538.37
2021-11-02 11:51:11.773,9536.22
2021-11-02 11:51:14.953,9535.44
2021-11-02 11:51:17.993,9540.2
2021-11-02 11:51:20.993,9521.81
2021-11-02 11:51:23.993,9527.37
2021-11-02 11:51:27.393,9522.53
2021-11-02 11:51:30.493,9549.76
2021-11-02 11:51:33.653,9534.51
2021-11-02 11:51:36.733,9524.27
2021-11-02 11:51:39.813,9541.06
2021-11-02 11:51:42.933,9521.74
2021-11-02 11:51:45.993,9548.8
2021-11-02 11:51:48.993,9530.73
2021-11-02 11:51:51.993,9520.54
2021-11-02 11:51:54.993,9530.75
2021-11-02 11:51:58.453,9524.34
2021-11-02 11:52:01.533,9542.99
2021-11-02 11:52:04.673,9523.08
2021-11-02 11:52:07.773,9539.97
2021-11-02 11:52:10.853,9532.27
2021-11-02 11:52:13.993,9523.27
2021-11-02 11:52:16.993,9546.9
2021-11-02 11:52:19.993,9537.46
2021-11-02 11:52:23.373,9527.72
2021-11-02 11:52:26.473,9523.89
2021-11-02 11:52:29.613,9525.62
2021-11-02 11:52:32.753,9547.31
2021-11-02 11:52:35.853,9524.52
2021-11-02 11:52:38.953,9541.68
2021-11-02 11:52:41.993,9521.26
2021-11-02 11:52:44.993,9529.44
2021-11-02 11:52:47.993,9545.59
2021-11-02 11:52:50.993,9547.7
2021-11-02 11:52:54.393,9534.36
2021-11-02 11:52:57.513,9527.92
2021-11-02 11:53:00.593,9539.15
2021-11-02 11:53:03.693,9542.97
2021-11-02 11:53:06.833,9522.47
2021-11-02 11:53:09.953,9542.29
2021-11-02 11:53:12.993,9526.8
2021-11-02 11:53:15.973,9532.87
2021-11-02 11:53:18.973,9548.23
2021-11-02 11:53:22.413,9525.44
2021-11-02 11:53:25.513,9541.58
2021-11-02 11:53:28.613,9522.58
2021-11-02 11:53:31.773,9550.3
2021-11-02 11:53:34.853,9520.35
2021-11-02 11:53:37.953,9541.24
2021-11-02 11:53:40.993,9535.35
2021-11-02 11:53:43.993,9530.55
2021-11-02 11:53:46.993,9549.18
2021-11-02 11:53:50.373,9543.18
2021-11-02 11:53:53.493,9539.27
2021-11-02 11:53:56.593,9524.78
2021-11-02 11:53:59.693,9547.34
2021-11-02 11:54:02.793,9524.05
2021-11-02 11:54:05.913,9538.54
2021-11-02 11:54:08.973,9520.25
2021-11-02 11:54:11.973,9528.41
2021-11-02 11:54:14.973,9540.2
2021-11-02 11:54:17.993,9537.03
2021-11-02 11:54:21.433,9540.15
2021-11-02 11:54:24.513,9523.91
2021-11-02 11:54:27.613,9538.87
2021-11-02 11:54:30.773,9526.26
2021-11-02 11:54:33.893,9544.46
2021-11-02 11:54:36.973,9533.1
2021-11-02 11:54:39.973,9530.33
2021-11-02 11:54:42.973,9522.44
2021-11-02 11:54:45.973,9547.32
2021-11-02 11:54:49.393,9544.22
2021-11-02 11:54:52.533,9535.71
2021-11-02 11:54:55.613,9534.15
2021-11-02 11:54:58.733,9521.05
2021-11-02 11:55:01.833,9550.13
2021-11-02 11:55:04.933,9521.57
2021-11-02 11:55:07.993,9542.18
2021-11-02 11:55:10.973,9529.53
2021-11-02 11:55:13.973,9528.92
2021-11-02 11:55:16.993,9549.57
2021-11-02 11:55:20.453,9523.6
2021-11-02 11:55:23.553,9533.08
2021-11-02 11:55:26.653,9523.8
2021-11-02 11:55:29.813,9551.04
2021-11-02 11:55:32.913,9529.24
2021-11-02 11:55:35.993,9528.65
2021-11-02 11:55:38.993,9540.75
2021-11-02 11:55:41.993,9522.71
2021-11-02 11:55:44.993,9542.95
2021-11-02 11:55:48.393,9521.2
2021-11-02 11:55:51.493,9535.0
2021-11-02 11:55:54.613,9534.66
2021-11-02 11:55:57.713,9531.73
2021-11-02 11:56:00.813,9544.46
2021-11-02 11:56:03.933,9522.13
2021-11-02 11:56:06.993,9542.61
2021-11-02 11:56:09.973,9531.85
2021-11-02 11:56:12.993,9527.71
2021-11-02 11:56:16.433,9532.56
2021-11-02 11:56:19.513,9523.9
2021-11-02 11:56:22.633,9542.9
2021-11-02 11:56:25.753,9522.05
2021-11-02 11:56:28.893,9546.6
2021-11-02 11:56:31.993,9528.71
2021-11-02 11:56:34.993,9524.96
2021-11-02 11:56:37.993,9541.92
2021-11-02 11:56:40.993,9531.56
2021-11-02 11:56:44.413,9550.18
2021-11-02 11:56:47.553,9522.08
2021-11-02 11:56:50.673,9532.61
2021-11-02 11:56:53.793,9539.88
2021-11-02 11:56:56.873,9523.48
2021-11-02 11:56:59.973,9551.47
2021-11-02 11:57:02.973,9526.8
2021-11-02 11:57:05.973,9530.06
2021-11-02 11:57:09.413,9528.5
2021-11-02 11:57:12.533,9526.95
2021-11-02 11:57:15.693,9550.05
2021-11-02 11:57:18.853,9522.47
2021-11-02 11:57:21.973,9541.62
2021-11-02 11:57:24.993,9525.1
2021-11-02 11:57:27.993,9535.79
2021-11-02 11:57:31.413,9526.14
2021-11-02 11:57:34.553,9538.51
2021-11-02 11:57:37.653,9531.6
2021-11-02 11:57:40.873,9529.28
2021-11-02 11:57:43.993,9546.92
2021-11-02 11:57:46.993,9523.47
2021-11-02 11:57:49.993,9539.57
2021-11-02 11:57:53.453,9524.16
2021-11-02 11:57:56.573,9548.47
2021-11-02 11:57:59.673,9521.18
2021-11-02 11:58:02.773,9540.98
2021-11-02 11:58:05.913,9531.64
