prediction,original
0.0,3.46
0.0,8.92
0.0,23.39
0.0,28.24
0.0,26.03
0.0,24.38
0.0,27.05
0.0,27.540000000000003
0.0,25.95
0.0,26.86
0.0,27.28
0.0,28.4
0.0,28.0
0.0,27.340000000000003
0.0,64.95
0.0,175.58
0.0,248.5
0.0,364.03
0.0,482.06
15.434289,546.02
56.223373,671.38
106.63075,737.1
164.86783,857.59
231.05615,978.89
304.85425,1049.12
384.01184,1171.32
468.60696,1286.0700000000002
558.15045,1358.52
650.68396,1484.5599999999997
746.4933,1547.08
843.4854,1671.25
942.26324,1726.72
1040.7991,1862.11
1140.5045,1975.47
1241.4282,2045.4699999999998
1342.0465,2167.15
1443.076,2233.57
1543.1018,2354.5
1643.0762,2471.27
1743.5497,2546.22
1843.4467,2591.81
1941.0033,2587.7
2033.1672,2584.0
2117.9602,2588.72
2194.524,2586.79
2262.3352,2584.63
2321.341,2583.89
2371.9404,2585.59
2414.786,2589.32
2450.7297,2588.89
2480.4854,2588.5799999999995
2504.7803,2586.05
2524.3123,2584.2200000000003
2539.7405,2582.09
2551.6562,2580.61
2560.6372,2585.29
2567.419,2577.4599999999996
2572.132,2579.44
2575.331,2580.92
2577.4038,2577.54
2578.4963,2580.8199999999997
2578.9924,2574.82
2578.8037,2578.45
2578.2893,2579.6700000000005
2577.5896,2575.33
2576.6453,2576.82
2575.6216,2579.45
2574.6467,2572.16
2573.5342,2577.1300000000006
2572.5708,2572.55
2571.575,2575.11
2570.6921,2570.1
2569.6855,2570.39
2568.646,2573.8
2567.7625,2571.2
2566.8787,2569.9299999999994
2565.9841,2575.09
2565.3208,2568.54
2564.6301,2571.68
2564.089,2569.7899999999995
2563.6033,2571.03
2563.2205,2571.2
2562.9302,2568.47
2562.616,2569.29
2562.2817,2571.89
2562.0356,2572.16
2561.837,2567.48
2561.5479,2564.97
2561.1372,2570.1
2560.8694,2571.29
2560.7456,2564.5200000000004
2560.4856,2570.45
2560.3542,2565.65
2560.1396,2571.4
2560.0854,2567.0600000000004
2559.9822,2566.6
2559.8672,2568.01
2559.8079,2566.78
2559.7493,2569.85
2559.8027,2563.82
2559.665,2568.11
2559.5608,2566.78
2559.4058,2564.8999999999996
2559.1826,2568.92
2559.1033,2562.28
2558.8464,2567.41
2558.665,2564.02
2558.4163,2565.4800000000005
2558.2312,2561.59
2557.9497,2568.28
2557.853,2564.12
2557.7625,2568.9699999999993
2557.8445,2565.9
2557.915,2561.43
2557.7761,2561.48
2557.498,2562.97
2557.143,2567.41
2556.951,2567.12
2556.9138,2560.09
2556.7358,2567.04
2556.7192,2564.4
2556.7231,2562.8
2556.7278,2563.31
2556.7043,2564.5
2556.699,2563.31
2556.701,2567.1100000000006
2556.8506,2560.63
2556.8274,2567.08
2556.9246,2562.69
2556.9697,2567.32
2557.1443,2562.88
2557.22,2561.13
2557.136,2566.2
2557.17,2562.3
2557.1477,2566.04
2557.2217,2564.72
2557.312,2565.17
2557.4124,2561.09
2557.3696,2562.82
2557.3074,2564.03
2557.3123,2562.08
2557.2583,2564.1799999999994
2557.2332,2561.1599999999994
2557.1033,2566.52
2557.1199,2564.51
2557.177,2565.8599999999997
2557.3083,2561.82
2557.3577,2564.2799999999997
